street_number,latitude,longitude,name_and_business,icon
424,-31.94403318,115.8629041,Mrs E Holliday,icon_1920
340,-31.94597423,115.8615846,"Mrs E M White, Smallgoods",icon_1920
385,-31.94443883,115.8617009,Mrs E Moran. Dressmaker,icon_1920
404,-31.94441523,115.8624706,Mrs E Willson. Draper,icon_1920
233,-31.94822479,115.8593127,Mrs Ethel Jones,icon_1920
410,-31.94442476,115.8628137,Mrs Eva Wray,icon_1920
358,-31.94544427,115.8617538,Mrs H Gibbon. Grocer,icon_1920
403,-31.94422569,115.8621229,Mrs H Wood,icon_1920
372,-31.94516584,115.8619659,Mrs J Griffiths,icon_1920
441,-31.94336932,115.8627794,Mrs J Sells,icon_1920
308,-31.94672418,115.8610345,"Mrs J Slater, Dressmaker",icon_1920
296,-31.94697128,115.8608216,Mrs K McDonald. Lodging house,icon_1920
208,-31.94901456,115.8595249,Mrs L Stephens,icon_1920
286,-31.94713418,115.8607057,Mrs M Booker. Lodging House,icon_1920
387,-31.94450773,115.8618146,Mrs M C Lee. Whte Wk; Daniel Hardy,icon_1920
406,-31.94446317,115.8626812,Mrs M Cooke. Fish Shop,icon_1920
326,-31.94624834,115.8614269,Mrs M E Kelly Fancy Goods,icon_1920
218,-31.94878507,115.8597836,Mrs M Quinn. Lodging House,icon_1920
392,-31.94477952,115.8623938,Mrs M Thomson,icon_1920
391,-31.94448515,115.861924,Mrs M Toogood. Laundry,icon_1920
229,-31.94844319,115.8595764,Mrs Martha Hall,icon_1920
210,-31.94894959,115.8596304,"Mrs Mary Wilson, Boarding house",icon_1920
223,-31.94844474,115.8592411,"Mrs Matthews, Dealer",icon_1920
338,-31.94589333,115.8615139,"Mrs May Hellen, Ham and Beef",icon_1920
440,-31.94349072,115.8629884,Mrs N Kennedy,icon_1920
378,-31.94517546,115.8623372,Mrs N O'Leary. Lodging House,icon_1920
413,-31.94410309,115.8622781,"Mrs N Smythe, Small Goods",icon_1920
181,-31.94954489,115.8586796,Mrs P J Byrnes. Small Goods,icon_1920
354,-31.94555065,115.8618762,"Mrs R Thomas, Fruiterer & Confectioner; David W Thomas",icon_1920
460,-31.94308452,115.8632627,Mrs S Jones. Fruiterer & Confectioner,icon_1920
224,-31.94865631,115.8599597,Mrs T Rosmanich. Lodging House,icon_1920
192,-31.94954917,115.8593296,National Bank of Australasia Ltd,icon_1920
227,-31.94834561,115.8592294,"Owen Trevett, Butcher",icon_1920
380,-31.94494255,115.8621159,Patrick Ryan,icon_1920
198,-31.94933774,115.8594533,"Perth Hostel (E J Formeman, Manager)",icon_1920
202,-31.94926489,115.8596251,Phillip Rosen Pawn Broker,icon_1920
169,-31.94964678,115.8585799,Power Bros. Plumbers,icon_1920
278,-31.94746348,115.860582,"Robert J Milligan, Tobacconist",icon_1920
232,-31.94853875,115.8600518,S Lazell Herbalist,icon_1920
203,-31.9488892,115.8591715,S Lucas. Fish Shop,icon_1920
173,-31.9496606,115.8587358,Samuel Goode. Clothier,icon_1920
175,-31.94959854,115.8586115,Samuel Goode. Clothier,icon_1920
177,-31.94949806,115.8585097,Samuel Goode. Clothier,icon_1920
291,-31.9469162,115.8604691,Samuel Major. Butcher,icon_1920
444,-31.9434433,115.8630107,Samuel Montgomery,icon_1920
394,-31.94462709,115.8622517,Skipper Bros Grocers.,icon_1920
396,-31.94467989,115.8623864,Skipper Bros Grocers.,icon_1920
455,-31.94303863,115.8629299,Stanley E W Matthews,icon_1920
171,-31.94957601,115.8584406,"Stewart & Holmes, Furniture Dealers",icon_1920
390,-31.94474722,115.8622209,"Sun Hun, Greengrocer",icon_1920
269,-31.94740264,115.8600358,"Sutherland & son, Engineers",icon_1920
243,-31.94810804,115.8596472,"Swan Drug Co. (Fred. W E Danker, manager)",icon_1920
217,-31.94864721,115.8593911,Sydney Young. Wine Saloon,icon_1920
283,-31.94698423,115.8602296,"T A Glasson, Grocer",icon_1920
395,-31.94432963,115.8617892,Thomas H Williams,icon_1920
270,-31.9475556,115.8604356,Thomas Locke Fish Shop,icon_1920
367,-31.9449641,115.8614045,Thomas Smales,icon_1920
199,-31.94920913,115.859017,Thomas. R Loy. Pastry Cook,icon_1920
206,-31.94912718,115.8596319,Union Cafe (Mrs D Carter),icon_1920
179,-31.94959135,115.8587798,Vacant,icon_1920
194,-31.94941671,115.859287,Vacant,icon_1920
271,-31.9473071,115.8599129,W E Gladstone. Baker,icon_1920
197,-31.94920098,115.8589612,W J C Griggs. Draper,icon_1920
273,-31.94731009,115.8600155,"W J Richmond, Fruiterer & Confectioner",icon_1920
261,-31.94753858,115.8598932,W J Shaw. Bootmaker & Importer,icon_1920
318,-31.94642282,115.8611516,"W Schapira, Watchmaker; Mrs H Hayman, Fruiterer",icon_1920
405,-31.94415253,115.8620511,Walter Gaunt,icon_1920
188,-31.94951261,115.8592134,Walters and Struck - Hairdresser and Tobacconist,icon_1920
196,-31.94943879,115.8594474,"Wearne Bros, Grocers",icon_1920
195,-31.94920109,115.8588771,Weaver & Dubberlin. Bootmakers,icon_1920
265,-31.9475248,115.8599565,Western Dairy Co (William S Collings),icon_1920
238,-31.94832739,115.8599339,William Brown Saddler,icon_1920
300,-31.94684642,115.8608848,William E Gladstone,icon_1920
205,-31.94880761,115.8591788,William Flint. Tobacconist & Hairdresser,icon_1920
371,-31.94490529,115.8617602,William Francis,icon_1920
366,-31.94532404,115.8618716,William H George,icon_1920
266,-31.94762469,115.8603728,William H Jones Furniture Dealer,icon_1920
293,-31.9467985,115.8605146,William J MacKay,icon_1920
193,-31.94924855,115.858964,"William J Riley, Tobacconist & Hairdresser",icon_1920
322,-31.94624854,115.8613088,"Wm Davis, Plumber",icon_1920
324,-31.9462814,115.8615707,"Wm Davis, Plumber",icon_1920
200,-31.94924329,115.8594237,Young Brothers Wine Saloon,icon_1920
